chemical_name,inchi,chebi_identifier,var1_levels,treatment,sample_size,sample_mean,unit,sem
germacrene D,"InChI=1S/C15H24/c1-12(2)15-10-8-13(3)6-5-7-14(4)9-11-15/h7-8,10,12,15H,3,5-6,9,11H2,1-2,4H3/b10-8+,14-7+",CHEBI:49045,LineB,LineB,08-Dec,3.5,µg per g of fresh weight,1
bicyclogermacrene,"InChI=1S/C15H24/c1-11-6-5-7-12(2)10-14-13(9-8-11)15(14,3)4/h6,10,13-14H,5,7-9H2,1-4H3/b11-6+,12-10+/t13-,14+/m1/s1",CHEBI:63709,LineB,LineB,08-Dec,0,µg per g of fresh weight,0
(E)-beta-farnesene,"InChI=1S/C15H24/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h6,9,12H,1,4,7-8,10-11H2,2-3,5H3/b15-12+",CHEBI:10418,LineB,LineB,08-Dec,0.1,µg per g of fresh weight,0.1
delta-cadinene,"InChI=1S/C15H24/c1-10(2)13-8-6-12(4)14-7-5-11(3)9-15(13)14/h9-10,13,15H,5-8H2,1-4H3",CHEBI:140564,LineB,LineB,08-Dec,0.3,µg per g of fresh weight,0.1
Germacrene D-4-ol,"InChI=1S/C15H26O/c1-12(2)14-8-7-13(3)6-5-10-15(4,16)11-9-14/h6,9,11-12,14,16H,5,7-8,10H2,1-4H3/b11-9+,13-6+",chebi:141218,LineB,LineB,08-Dec,1.4,µg per g of fresh weight,0.5
tau-cadinol,"InChI=1S/C15H26O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)9-13(12)14/h9-10,12-14,16H,5-8H2,1-4H3/t12-,13-,14+,15-/m0/s1",CHEBI:138042,LineB,LineB,08-Dec,0.4,µg per g of fresh weight,0.1
tau-muurolol,"InChI=1S/C15H26O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)9-13(12)14/h9-10,12-14,16H,5-8H2,1-4H3/t12-,13-,14-,15-/m0/s1",,LineB,LineB,08-Dec,0.9,µg per g of fresh weight,0.4
α-muurolol,"InChI=1S/C15H28O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)9-13(12)14/h10-14,16H,5-9H2,1-4H3/t11-,12+,13+,14+,15+/m0/s1",,LineB,LineB,08-Dec,0.2,µg per g of fresh weight,0.1
alpha-cadinol,"InChI=1S/C15H26O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)9-13(12)14/h9-10,12-14,16H,5-8H2,1-4H3/t12-,13-,14+,15+/m0/s1",CHEBI:132905,LineB,LineB,08-Dec,0.9,µg per g of fresh weight,0.2
"(E,E)-farnesol","InChI=1S/C15H26O/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-16/h7,9,11,16H,5-6,8,10,12H2,1-4H3/b14-9+,15-11+",CHEBI:16619,LineB,LineB,08-Dec,0.1,µg per g of fresh weight,0.1
