compound,inchi,chebi,variety,organism_part,treatment,sample_size,average_concentration,normalized_to_total_sum_concentration,unit,sem,publication_year
geranyl acetate,"InChI=1S/C12H20O2/c1-10(2)6-5-7-11(3)8-9-14-12(4)13/h6,8H,5,7,9H2,1-4H3/b11-8+",CHEBI:5331,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,2.6,0.010261268,,1.49,nature genetics 2018
germacrene D,"InChI=1S/C15H24/c1-12(2)15-10-8-13(3)6-5-7-14(4)9-11-15/h7-8,10,12,15H,3,5-6,9,11H2,1-2,4H3/b10-8+,14-7+",CHEBI:49045,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,9.26,0.036545899,,2.76,nature genetics 2018
Germacrene D 4 ol,"InChI=1S/C15H26O/c1-12(2)14-8-7-13(3)6-5-10-15(4,16)11-9-14/h6,9,11-12,14,16H,5,7-8,10H2,1-4H3/b11-9+,13-6+",,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,0.66,0.002604783,,0.66,nature genetics 2018
hexan-1-ol,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",CHEBI:87393,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,3.12,0.012313521,,0.38,nature genetics 2018
hexanal,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3",CHEBI:88528,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,1.59,0.00627516,,0.22,nature genetics 2018
hexyl acetate,"InChI=1S/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3",CHEBI:87510,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,0.73,0.002881048,,0.11,nature genetics 2018
methyl eugenol,"InChI=1S/C11H14O2/c1-4-5-9-6-7-10(12-2)11(8-9)13-3/h4-8H,1-3H3",CHEBI:14469,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,,0,,,nature genetics 2018
neral,"InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7-",CHEBI:29020,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,0.68,0.002683716,,0.68,nature genetics 2018
nerol,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-",CHEBI:29452,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,,0,,,nature genetics 2018
nonanal,"InChI=1S/C9H18O/c1-2-3-4-5-6-7-8-9-10/h9H,2-8H2,1H3",CHEBI:84268,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,0.26,0.001026127,,0.26,nature genetics 2018
phenylacetaldehyde,"InChI=1S/C8H8O/c9-7-6-8-4-2-1-3-5-8/h1-5,7H,6H2",CHEBI:16424,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,,0,,,nature genetics 2018
Tau-cadinol,"InChI=1S/C15H26O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)9-13(12)14/h9-10,12-14,16H,5-8H2,1-4H3/t12-,13-,14+,15-/m0/s1",CHEBI:138042,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3,0.41,0.001618123,,0.41,nature genetics 2018
"(E,E)-farnesal","InChI=1S/C15H24O/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-16/h7,9,11-12H,5-6,8,10H2,1-4H3/b14-9+,15-11+",CHEBI:15894,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0,0,,,science 2015
"(E,E)-farnesol","InChI=1S/C15H26O/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-16/h7,9,11,16H,5-6,8,10,12H2,1-4H3/b14-9+,15-11+",CHEBI:16619,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0.1,0.001007049,,,science 2015
"(E,E)-farnesyl acetate","InChI=1S/C17H28O2/c1-14(2)8-6-9-15(3)10-7-11-16(4)12-13-19-17(5)18/h8,10,12H,6-7,9,11,13H2,1-5H3/b15-10+,16-12+",,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0,0,,,science 2015
(E)-2-hexen-1-ol,,,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,1.8,0.018126888,,,science 2015
(E)-2-hexenal,"InChI=1S/C6H10O/c1-2-3-4-5-6-7/h4-6H,2-3H2,1H3/b5-4+",CHEBI:28913,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,9.6,0.096676737,,,science 2015
(E)-beta-farnesene,"InChI=1S/C15H24/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h6,9,12H,1,4,7-8,10-11H2,2-3,5H3/b15-12+",CHEBI:10418,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0,0,,,science 2015
(E)-beta-ocimene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8+",CHEBI:64280,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0,0,,,science 2015
(Z)-3-hexen-1-ol,,,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,4.6,0.04632427,,,science 2015
(Z)-3-hexenyl acetate,"InChI=1S/C8H14O2/c1-3-4-5-6-7-10-8(2)9/h4-5H,3,6-7H2,1-2H3/b5-4-",CHEBI:61316,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,7.1,0.071500504,,,science 2015
"1,3,5-trimethoxybenzene","InChI=1S/C9H12O3/c1-10-7-4-8(11-2)6-9(5-7)12-3/h4-6H,1-3H3",CHEBI:31038,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,9.7,0.097683787,,,science 2015
2-phenylethanol,"InChI=1S/C8H10O/c9-7-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2",CHEBI:49000,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0.4,0.004028197,,,science 2015
"3,5-dimethoxytoluene",,,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0.1,0.001007049,,,science 2015
alpha-cadinol,"InChI=1S/C15H26O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)9-13(12)14/h9-10,12-14,16H,5-8H2,1-4H3/t12-,13-,14+,15+/m0/s1",CHEBI:132905,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0.2,0.002014099,,,science 2015
benzaldehyde,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,CHEBI:17169,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0,0,,,science 2015
benzylalcohol,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",CHEBI:17987,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0.1,0.001007049,,,science 2015
beta-myrcene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3",CHEBI:17221,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0,0,,,science 2015
delta-cadinene,"InChI=1S/C15H24/c1-10(2)13-8-6-12(4)14-7-5-11(3)9-15(13)14/h9-10,13,15H,5-8H2,1-4H3",CHEBI:140564,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0.2,0.002014099,,,science 2015
dihydro-beta-ionol,"InChI=1S/C13H24O/c1-10-6-5-9-13(3,4)12(10)8-7-11(2)14/h11,14H,5-9H2,1-4H3",,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,11.6,0.116817724,,,science 2015
dihydro-beta-ionone,"InChI=1S/C13H22O/c1-10-6-5-9-13(3,4)12(10)8-7-11(2)14/h5-9H2,1-4H3",CHEBI:18015,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0.1,0.001007049,,,science 2015
elemol,"InChI=1S/C15H26O/c1-7-15(6)9-8-12(14(4,5)16)10-13(15)11(2)3/h7,12-13,16H,1-2,8-10H2,3-6H3/t12-,13+,15-/m1/s1",,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0,0,,,science 2015
eugenol,"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",CHEBI:4917,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0,0,,,science 2015
geranial,"InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7+",CHEBI:16980,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,6.1,0.06143001,,,science 2015
geraniol,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+",CHEBI:17447,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,38.1,0.383685801,,,science 2015
geranyl acetate,"InChI=1S/C12H20O2/c1-10(2)6-5-7-11(3)8-9-14-12(4)13/h6,8H,5,7,9H2,1-4H3/b11-8+",CHEBI:5331,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0.2,0.002014099,,,science 2015
germacrene D,"InChI=1S/C15H24/c1-12(2)15-10-8-13(3)6-5-7-14(4)9-11-15/h7-8,10,12,15H,3,5-6,9,11H2,1-2,4H3/b10-8+,14-7+",CHEBI:49045,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,7.5,0.075528701,,,science 2015
Germacrene D 4 ol,"InChI=1S/C15H26O/c1-12(2)14-8-7-13(3)6-5-10-15(4,16)11-9-14/h6,9,11-12,14,16H,5,7-8,10H2,1-4H3/b11-9+,13-6+",,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0.6,0.006042296,,,science 2015
hexan-1-ol,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",CHEBI:87393,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0.4,0.004028197,,,science 2015
hexanal,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3",CHEBI:88528,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0.5,0.005035247,,,science 2015
hexyl acetate,"InChI=1S/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3",CHEBI:87510,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0,0,,,science 2015
methyl eugenol,"InChI=1S/C11H14O2/c1-4-5-9-6-7-10(12-2)11(8-9)13-3/h4-8H,1-3H3",CHEBI:14469,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0,0,,,science 2015
neral,"InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7-",CHEBI:29020,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0.1,0.001007049,,,science 2015
nerol,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-",CHEBI:29452,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0.1,0.001007049,,,science 2015
nonanal,"InChI=1S/C9H18O/c1-2-3-4-5-6-7-8-9-10/h9H,2-8H2,1H3",CHEBI:84268,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0.1,0.001007049,,,science 2015
phenylacetaldehyde,"InChI=1S/C8H8O/c9-7-6-8-4-2-1-3-5-8/h1-5,7H,6H2",CHEBI:16424,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0,0,,,science 2015
Tau-cadinol,"InChI=1S/C15H26O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)9-13(12)14/h9-10,12-14,16H,5-8H2,1-4H3/t12-,13-,14+,15-/m0/s1",CHEBI:138042,R. chinensis 'Old Blush',petals,R. chinensis 'Old Blush' petals,3 to 7,0,0,,,science 2015
